,img,time_bomb2_nice,time_bomb1_nice,time_bomb1,time,time_bomb2
26,030583_03M62.JPG,0.02789831161499023,0.0007946491241455077,0.0007874965667724608,0.0007736682891845702,0.02788996696472168
27,037948_2M55.JPG,0.019894123077392575,0.0007877349853515625,0.0007836818695068358,0.0007719993591308594,0.02388286590576172
28,029783_00M65.JPG,0.02388930320739746,0.0007903575897216798,0.0007848739624023438,0.00077056884765625,0.023895978927612305
29,035650_1M53.JPG,0.01990318298339844,0.0007870197296142577,0.0007770061492919923,0.0007739067077636719,0.02389383316040039
30,035479_2M54.JPG,0.027895450592041016,0.0007870197296142577,0.000782012939453125,0.0007708072662353517,0.02388906478881836
31,036051_2M54.JPG,0.019898653030395508,0.0007939338684082031,0.0007886886596679688,0.0007755756378173827,0.01990318298339844
32,037948_0M55.JPG,0.02389693260192871,0.0007936954498291017,0.0007808208465576173,0.0007696151733398438,0.031867265701293945
33,033265_3M58.JPG,0.027878284454345703,0.0007884502410888673,0.0007784366607666017,0.0007691383361816406,0.015932798385620117
34,037882_03M55.JPG,0.01990938186645508,0.0007870197296142577,0.000782012939453125,0.0007712841033935548,0.02788257598876953
35,036804_1M52.JPG,0.02390289306640625,0.0007843971252441406,0.0007870197296142577,0.0007803440093994142,0.03190398216247558
36,031940_2M53.JPG,0.02788996696472168,0.0007889270782470702,0.0007810592651367188,0.0007741451263427733,0.015886783599853516
37,035198_1M54.JPG,0.01990270614624023,0.0007863044738769531,0.0007770061492919923,0.0007700920104980469,0.027866840362548828
38,035702_0M53.JPG,0.02389621734619141,0.0007901191711425781,0.0007746219635009767,0.0007703304290771483,0.019913911819458008
39,035005_6F56.JPG,0.031887292861938484,0.0007824897766113281,0.0007798671722412108,0.0007688999176025392,0.02390050888061523
40,034108_1M62.JPG,0.01987934112548828,0.0007946491241455077,0.0007805824279785156,0.0007753372192382812,0.023891210556030273
41,037747_0M50.JPG,0.019901037216186523,0.0007891654968261719,0.0007784366607666017,0.0007696151733398438,0.02389621734619141
42,032572_2M54.JPG,0.023905277252197262,0.0007872581481933594,0.0007755756378173827,0.0007703304290771483,0.023898601531982425
43,037710_0M51.JPG,0.027882099151611328,0.0007822513580322267,0.0007770061492919923,0.0007748603820800781,0.019902944564819336
44,030624_1M64.JPG,0.02388310432434082,0.0007898807525634767,0.0007967948913574219,0.0007731914520263673,0.03187990188598633
45,030380_0M64.JPG,0.023891925811767575,0.0007874965667724608,0.0007824897766113281,0.0007762908935546875,0.0198974609375
46,032876_0M59.JPG,0.023898839950561523,0.0007855892181396483,0.0007774829864501952,0.0007781982421875,0.02389669418334961
47,035557_03M54.JPG,0.02389812469482422,0.0007879734039306642,0.0007910728454589844,0.0007784366607666017,0.0198974609375
48,019066_4M69.JPG,0.023900747299194336,0.0007886886596679688,0.008659601211547852,0.0007746219635009767,0.027904033660888672
49,035005_5F56.JPG,0.02389359474182129,0.0007984638214111327,0.0008001327514648438,0.000782012939453125,0.02390050888061523
50,031153_1M55.JPG,0.02389621734619141,0.0007913112640380858,0.0007891654968261719,0.0007746219635009767,0.03185296058654785
51,035143_1M56.JPG,0.019904136657714844,0.00078582763671875,0.000782012939453125,0.0007724761962890625,0.027935266494750977
